,물품중분류,4월_구매금액,6월_구매금액,7월_구매금액,9월_구매금액
0,알,18550971.0,18160798.0,17397588.0,17435942.0
1,소,14954844.0,13304995.0,15196250.0,18392950.0
2,중량(정육),14826489.0,13016025.0,11248916.0,13833507.0
3,잎/줄기채소,14487670.0,9710414.0,,
4,육가공,12321438.0,11544815.0,18094759.0,11027264.0
5,과일,11284604.0,13647945.0,15327794.0,26993496.0
6,음료,11050075.0,13712462.0,20818261.0,13273174.0
7,건강일반,9883095.0,9812606.0,,10448099.0
8,멥쌀,9730757.0,,,12220066.0
9,두부/유부,9395764.0,,,
10,과일채소,,13894416.0,12883118.0,
11,유제품,,9925002.0,,
12,홍삼/녹용,,,16556045.0,
13,열매채소,,,12766589.0,
14,밀가공,,,12460892.0,
15,냉동수산,,,,11569173.0
16,과자,,,,10245730.0
