,회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,R,F,Score,고객등급
0,1000012800,정상회원,수지구-풍덕천동,여,58.0,미신청,미수신,normal,50대,139,1,3021.8000000000006,1
1,1000103744,정상회원,처인구-고림동,여,34.0,미신청,미수신,normal,30대,18,1,14774.1,4
2,1000122304,정상회원,광주-기타,여,38.0,미신청,미수신,normal,30대,0,15,57136.9,4
3,1000163136,정상회원,수지구-동천동,여,73.0,미신청,미수신,normal,70대,0,4,55558.0,4
4,1000281920,정상회원,수지구-풍덕천동,여,42.0,신청,미수신,normal,40대,25,28,237018.1,2
5,1000330176,정상회원,수지구-신봉동,여,64.0,미신청,미수신,normal,60대,9,20,126890.1,3
6,1000491648,정상회원,수지구-동천동,여,37.0,미신청,미수신,normal,30대,26,32,265262.6,2
7,1000508352,정상회원,기흥구-상하동,여,35.0,미신청,미수신,normal,30대,12,1,2829.9000000000005,1
8,1000565888,정상회원,수지구-상현동,여,52.0,미신청,미수신,normal,50대,79,5,19696.2,4
9,1000577024,정상회원,기타-기타,여,47.0,미신청,미수신,normal,40대,149,3,87330.2,3
10,1000796032,정상회원,수지구-동천동,여,40.0,미신청,미수신,normal,40대,12,6,45446.600000000006,4
11,1000807168,정상회원,수지구-동천동,여,39.0,미신청,미수신,normal,30대,14,33,122259.3,3
12,1001042880,정상회원,수지구-신봉동,여,42.0,미신청,미수신,normal,40대,180,3,4235.3,5
13,1001111552,정상회원,수지구-풍덕천동,여,47.0,미신청,미수신,normal,40대,2,34,332522.4000000001,2
14,100134912,정상회원,수지구-성복동,여,49.0,미신청,미수신,normal,40대,39,3,8672.8,5
15,1001440064,정상회원,수지구-동천동,여,50.0,미신청,미수신,normal,50대,5,25,119426.40000000001,3
16,1001592256,정상회원,수지구-성복동,여,40.0,미신청,미수신,normal,40대,177,1,15262.4,4
17,1001595968,정상회원,수지구-동천동,여,50.0,미신청,미수신,normal,50대,75,4,22568.7,4
18,1001677632,정상회원,수지구-동천동,여,78.0,미신청,미수신,normal,70대,166,1,1137.3,1
