,Unnamed: 0,사업자등록번호,Unnamed: 2,기업명,기업영문명,대표자명,종업원수,종업원수기준년월,산업분류코드,산업분류코드설명,기업규모,기업형태,업태명,설립일,이메일주소,전화번호,팩스전화번호,우편번호,주소,상세주보,대분류,중분류,소분류,세분류,indCd1_str
0,1,1010204456,,씨앤피비즈***,C&P BIZ SOLUT***,함**,5.0,Jun-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도소매/서비스/소매/제조업/통신업,20000414.0,djham29@hanmail.net,02-334-0349,02-338-0349,3966.0,서울 마포구 월드컵북로 137,"(성산동,C.S타워 B3호)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
1,36,1608104528,,(주)그린정보***,"GREEN INFORMATION SYATEM CO.KR Co., L***",이**,7.0,Dec-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도소매/소매/임대/정보통신업,20180109.0,,02-722-3211,02-723-3211,4057.0,서울 마포구 신촌로12다길 20,"1층 (노고산동,스테이하이오피스텔)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
2,577,3123102159,,그린아**,Green IT ***,이**,8.0,Sep-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,건설업/도매 및 소매업/도소매,20121101.0,greenit00@naver.com,041-555-3698,041-552-3698,31090.0,충남 천안시 서북구 오성8길,"30, 401호 (두정동,상지빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
3,636,5048504267,,(주)진두아이에스대***,Jin Do IS Daegu Bra***,손**,,,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중견기업,외감,,20080114.0,, 053 4214001,,41952.0,대구광역시 중구 동덕로,64-15 (대봉동),도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
4,846,1138103379,,선진인포텍***,"Sunjin Infotech Co., L***",김**,15.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도매/부동산업 및 임대업/서비스/소매업/제조,19980824.0,snow@sunjin.net,16708960,02  26242665,8594.0,서울 금천구 가산디지털1로 5,"1613호, 1614호, 1615호, 1616호, 1617호 (가산동,대륭테크노타운20차)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
5,903,2208802869,,(주)유플렉스***,"Uplex Soft Co.,L***",김**,21.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도매업/서비스,20101214.0,hjlee@uplexsoft.com,02  508 6808,02-508-6881,6250.0,서울 강남구 역삼로 138,"501호 (역삼동,동광빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
6,920,2118107654,,(주)케이씨***,"KCIM Co., L***",김**,91.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,"도매/도매업/부동산업/사업서비스/소매/써비스/전문, 과학 및 기술서비스업/제조업",19901213.0,hrahn@kcim.co.kr,02-772-5800,02  21170609,6246.0,서울특별시 강남구 역삼로19길 3,(역삼동),도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
7,936,2128608353,,(주)엔큐***,NQ Consulting. l***,유**,9.0,Sep-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도소매/서비스,20140117.0,sales@nqc.co.kr,070-4044-4100,0505-292-2500,5836.0,서울 송파구 법원로11길 25,"A동 1009호 (문정동,에이치비지니스파크)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
8,1057,1068609960,,(주)하람아***,"Haram INC Co.,L***",최**,5.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,"도소매,서비스",20080204.0,,02  706 0442,02  716 0444,4178.0,서울 마포구 마포대로4나길 71,"지하2층 비201호 (마포동,마포비체힐1리버뷰)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
9,1159,1018107931,,삼성솔루션***,"SAMSUNG SOLUTION Co., L***",박**,8.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,"도매,소매,서비스",20000628.0,sochoi@mfp.kr,02  735 5500,02  738 6786,4209.0,서울특별시 마포구 만리재옛길 36,(신공덕동),도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
