SEQ_NO,BASE_YM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,MOVIE_THETR_CO,PRFPLC_CO,ARTGR_CO,MUSEUM_CO,LBRRY_CO,ETC_FCLTY_CO,TURSM_SPND_PRICE,LSR_SPND_PRICE,LDGMNT_SPND_PRICE,FOOD_SPND_PRICE,SPND_SM_PRICE
3,201901,11,서울특별시,11040,성동구,1,0,3,1,1,0,277863346,1267806093,2464540719,34302720904,38312931062
13,201901,21,부산광역시,21090,해운대구,7,1,4,0,0,0,0,1283162907,64524789528,43458477094,109266429529
18,201901,22,대구광역시,22010,중구,22,10,15,14,0,2,116759071,468715535,1277833540,25942835673,27806143819
62,201902,11,서울특별시,11040,성동구,1,0,4,1,7,0,135269686,1153785174,3125280892,29723853852,34138189604
72,201902,21,부산광역시,21090,해운대구,7,0,2,0,0,0,0,1320341869,60910381109,40945546253,103176269231
76,201902,22,대구광역시,22010,중구,22,9,7,9,9,3,44816501,483392063,1329246862,24513111675,26370567101
115,201903,11,서울특별시,11040,성동구,1,1,2,2,8,0,362741102,1344366219,3330379341,35907573442,40945060104
126,201903,21,부산광역시,21090,해운대구,7,1,2,0,0,0,6548168,1223211581,46277470339,42849255864,90356485952
129,201903,22,대구광역시,22010,중구,22,11,4,8,0,4,464765177,437629871,1172498944,24902466021,26977360013
171,201904,11,서울특별시,11040,성동구,1,0,3,2,7,1,406834804,1222601645,2533348661,33811850358,37974635468
184,201904,21,부산광역시,21090,해운대구,7,0,2,0,9,0,66290755,1132139910,45224280381,39551637816,85974348862
187,201904,22,대구광역시,22010,중구,22,0,5,9,27,6,201165418,373532223,1164895986,21707288718,23446882345
227,201905,11,서울특별시,11040,성동구,1,2,2,1,8,1,352335333,1199622879,3359435301,35922666768,40834060281
239,201905,21,부산광역시,21090,해운대구,7,0,3,0,0,0,55971803,1132611096,51708219903,43769064710,96665867512
242,201905,22,대구광역시,22010,중구,22,10,4,9,28,8,218915999,368715466,1186381252,23637210679,25411223396
